,items,support,count
19,{supportsRc4=false},0.82378138,60772
20,{rating=A},0.396613891,29259
18,"{rating=A,supportsRc4=false}",0.390310687,28794
21,{supportsRc4=true},0.154218403,11377
22,{rating=A+},0.143265738,10569
17,"{rating=A+,supportsRc4=false}",0.140541127,10368
23,{rating=B},0.136582985,10076
24,{rating=A-},0.098235103,7247
14,"{rating=A-,supportsRc4=false}",0.096418695,7113
25,{rating=F},0.090657702,6688
15,"{rating=B,supportsRc4=false}",0.085330478,6295
26,{rating=C},0.083703844,6175
13,"{rating=F,supportsRc4=true}",0.053882232,3975
27,{rating=T},0.050940736,3758
16,"{rating=B,supportsRc4=true}",0.046209944,3409
11,"{rating=C,supportsRc4=true}",0.044718864,3299
8,"{rating=T,supportsRc4=false}",0.040015182,2952
10,"{rating=C,supportsRc4=false}",0.036965244,2727
12,"{rating=F,supportsRc4=false}",0.034199967,2523
28,{supportsRc4=null},0.022000217,1623
9,"{rating=T,supportsRc4=true}",0.009366697,691
1,"{rating=A,supportsRc4=null}",0.006289649,464
3,"{rating=B,supportsRc4=null}",0.005042564,372
2,"{rating=A+,supportsRc4=null}",0.002724611,201
5,"{rating=F,supportsRc4=null}",0.002575503,190
6,"{rating=C,supportsRc4=null}",0.002019736,149
4,"{rating=A-,supportsRc4=null}",0.001789297,132
7,"{rating=T,supportsRc4=null}",0.001558857,115
