"Number of Configurations","Number of Configuration Attempts"
"1","10145"
"2","47966"
"3","1432"
"4","5833"
"5","494"
"6","1551"
"7","237"
"8","655"
"9","109"
"10","265"
"11","86"
"12","176"
"13","52"
"14","88"
"15","38"
"16","55"
"17","25"
"18","35"
"19","23"
"20","25"
"21","5"
"22","18"
"23","10"
"24","8"
"25","6"
"26","8"
"27","7"
"28","7"
"29","4"
"30","7"
"31","5"
"32","4"
"33","2"
"34","3"
"35","3"
"36","4"
"37","2"
"38","5"
"39","4"
"40","3"
"41","1"
"42","3"
"43","5"
"44","4"
"45","1"
"46","1"
"47","4"
"48","3"
"49","1"
"50","2"
"52","2"
"53","1"
"54","1"
"55","2"
"57","1"
"58","3"
"62","1"
"63","2"
"65","1"
"66","1"
"68","1"
"73","1"
"87","1"
"88","1"
"139","1"
"174","1"
"189","1"
"246","1"
"404","1"
"693","1"
"694","1"
"920","1"
"1132","1"
"1214","1"
"1610","1"
"1873","1"
"1931","1"
"1979","1"
"2385","1"
"2810","1"
"2858","1"
"2959","1"
"6266","1"
